序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1.您的性别是:  *,2.您所在的年级是:  *,3.您更加喜欢的颜色系是:  *,4.您平时参加体育锻炼的频率是:  *,5.您每次进行体育锻炼的时间是:  *,6.您每次进行体育锻炼的强度是:  *,7.您偏向的运动环境是:  *,8.请勾选您进行体育锻炼最常所选用的项目:  *,9.您认为影响您参加体育锻炼的因素重要性排序是: [排序题，请将最重要的放置在第一位] *,10.您认为运动类APP应该具有的功能排序（按重要程度）: [排序题，请将最重要的放置在第一位] *,11.您对运动类APP在以下属性方面的重要性程度的看法是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式,12.您的运动类 APP 使用经历是:  *,13.您使用运动类 APP 的频率是:  *,14.您每次使用的运动类 APP 时间是:  *,15.您坚持使用运动类 APP 多久了:  *,16.您目前使用的 APP 类型:  *,17.在下列运动类 APP 功能中，您最常使用的是:  *,18.您对运动类APP在以下属性方面的满意程度是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式,19.您认为您在运动中通过使用以上最常用的功能可以给您带来什么样的体验:  *,20.您认为您所使用的运动类 APP 能够帮您实现上一题中的体验的程度是:  *,21.您认为在运动中使用运动类 APP 是否提高您锻炼的效果:  *,22.在运动类 APP 的运动指导系列中您经常学习下列哪种?  *,23.通过使用运动类 APP，您认为其在哪里方面需要改进呢?  *
62,2019/6/14 10:27:35,289秒,手机提交,直接访问,117.136.100.83(安徽-合肥),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,C.1小时—2小时,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,E.排球┋J.瑜伽┋K.游泳,A.锻炼兴趣→B.空闲时间→C.场地器材→F.集体效应,GPS记录运动轨迹→卡路里消耗→音乐播放→计步/计数→运动计划→视频指导/运动知识,重要,重要,重要,非常重要,重要,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高┋G.其他
63,2019/6/14 17:07:08,133秒,手机提交,直接访问,183.160.161.207(安徽-合肥),B.女生,C.大三,C.中间色系（紫、绿、黑、白、灰等）,C.一周3-4次,D.2小时以上,B.出汗较多,C.私人教练服务,其他,D.专业辅导→F.集体效应→A.锻炼兴趣,运动计划→计步/计数→卡路里消耗→GPS记录运动轨迹→运动榜单/好友竞赛→运动圈互动→视频指导/运动知识,一般,重要,非常重要,重要,重要,一般,一般,一般,一般,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
64,2019/6/14 17:17:41,242秒,手机提交,直接访问,112.28.151.42(安徽-合肥),A.男生,A.大一,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,E.每天锻炼,B.30分钟—60分钟,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋B.篮球,A.锻炼兴趣→B.空闲时间→C.场地器材→F.集体效应→D.专业辅导→E.媒体宣传,GPS记录运动轨迹→卡路里消耗→运动计划→视频指导/运动知识→音乐播放→运动榜单/好友竞赛→提供课程性价比高→运动圈互动→计步/计数,重要,重要,重要,重要,重要,重要,重要,重要,重要,B.正在使用,D.每天锻炼,C.30min-90min,C.一年以上,B.Keep,A.GPS记录运动轨迹┋B.计步/记数┋C.运动计划,满意,满意,满意,一般,一般,满意,不满意,一般,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,B.中(中等程度),A.运动训练┋B.运动装备┋C.健身塑型,C.功能不够丰富
65,2019/6/15 17:35:16,109秒,手机提交,直接访问,117.136.117.62(安徽-未知),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,B.30分钟—60分钟,C.稍微出汗,D.网络、app辅导,A.跑步┋E.排球,A.锻炼兴趣→C.场地器材→B.空闲时间→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,卡路里消耗→音乐播放→计步/计数→运动榜单/好友竞赛→GPS记录运动轨迹→运动计划→视频指导/运动知识→运动圈互动→提供课程性价比高→其他,重要,非常重要,重要,重要,非常重要,一般,重要,重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),D.记录不够准确
66,2019/6/15 17:41:14,67秒,手机提交,直接访问,117.136.101.213(安徽-合肥),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,B.出汗较多,D.网络、app辅导,A.跑步┋其他,B.空闲时间→G.其他,GPS记录运动轨迹→卡路里消耗,一般,一般,一般,一般,一般,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G.其他
67,2019/6/15 17:41:44,190秒,手机提交,直接访问,36.60.224.141(安徽-未知),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,A.出汗很多,C.私人教练服务,C.羽毛球┋E.排球┋K.游泳,A.锻炼兴趣→B.空闲时间→D.专业辅导→C.场地器材→F.集体效应→E.媒体宣传→G.其他,卡路里消耗→音乐播放→提供课程性价比高,不重要,非常重要,一般,非常重要,非常重要,非常不重要,非常重要,非常重要,不重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
68,2019/6/15 19:03:02,113秒,手机提交,直接访问,117.136.52.202(湖北-武汉),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步,B.空闲时间→A.锻炼兴趣,卡路里消耗→GPS记录运动轨迹→计步/计数→视频指导/运动知识,不重要,重要,重要,一般,重要,不重要,一般,不重要,不重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
69,2019/6/15 19:04:27,61秒,手机提交,直接访问,60.223.140.183(山西-晋中),A.男生,D.大四及以上,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,D.网络、app辅导,其他,A.锻炼兴趣→B.空闲时间→E.媒体宣传→D.专业辅导→F.集体效应→C.场地器材→G.其他,计步/计数→运动计划→GPS记录运动轨迹→视频指导/运动知识→卡路里消耗→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高→其他,一般,不重要,一般,不重要,不重要,不重要,重要,不重要,重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
70,2019/6/15 19:04:31,105秒,手机提交,直接访问,117.136.107.35(河南-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,A.几乎不,A.30分钟以内,D.基本不出汗,A.健身房,A.跑步,A.锻炼兴趣→D.专业辅导,视频指导/运动知识→GPS记录运动轨迹→运动计划→音乐播放,重要,重要,重要,非常重要,一般,一般,重要,重要,不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G.其他
71,2019/6/15 19:08:06,107秒,手机提交,直接访问,36.61.183.176(安徽-未知),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋C.羽毛球┋J.瑜伽,B.空闲时间→A.锻炼兴趣→C.场地器材,计步/计数→GPS记录运动轨迹→视频指导/运动知识→运动计划,非常重要,非常重要,重要,重要,一般,一般,一般,重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C.功能不够丰富┋E.激励机制有待提高
72,2019/6/15 19:13:04,32秒,微信,N/A,36.61.71.250(安徽-未知),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,B.30分钟—60分钟,D.基本不出汗,A.健身房,C.羽毛球,A.锻炼兴趣,GPS记录运动轨迹→计步/计数,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多
73,2019/6/15 19:13:07,124秒,手机提交,直接访问,117.136.117.222(安徽-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,C.一周3-4次,C.1小时—2小时,A.出汗很多,A.健身房,A.跑步┋B.篮球┋K.游泳,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,视频指导/运动知识→GPS记录运动轨迹→计步/计数→运动计划→音乐播放→运动榜单/好友竞赛→提供课程性价比高→其他→运动圈互动→卡路里消耗,非常不重要,不重要,非常不重要,非常不重要,非常重要,非常重要,非常重要,非常重要,非常重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
74,2019/6/15 19:14:22,189秒,手机提交,直接访问,36.61.217.80(安徽-合肥),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,D.基本不出汗,A.健身房,A.跑步┋C.羽毛球┋D.兵乓球┋E.排球,A.锻炼兴趣→B.空闲时间→D.专业辅导→C.场地器材→F.集体效应→E.媒体宣传,运动计划→视频指导/运动知识→计步/计数→GPS记录运动轨迹→卡路里消耗→运动圈互动→音乐播放→提供课程性价比高→运动榜单/好友竞赛,一般,重要,重要,非常重要,一般,一般,重要,重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B.界面设计不合理┋C.功能不够丰富┋E.激励机制有待提高┋F.提供知识全面性、科学性欠缺
75,2019/6/15 19:14:25,124秒,手机提交,直接访问,117.136.100.27(安徽-合肥),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,C.1小时—2小时,B.出汗较多,D.网络、app辅导,A.跑步,A.锻炼兴趣→B.空闲时间→F.集体效应→C.场地器材→E.媒体宣传→D.专业辅导→G.其他,提供课程性价比高→GPS记录运动轨迹→运动计划→视频指导/运动知识→卡路里消耗→计步/计数→音乐播放→运动圈互动→运动榜单/好友竞赛→其他,一般,重要,非常重要,一般,一般,一般,一般,重要,一般,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
76,2019/6/15 19:14:34,121秒,手机提交,直接访问,36.60.38.73(安徽-合肥),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,B.篮球┋C.羽毛球,A.锻炼兴趣→B.空闲时间→D.专业辅导→C.场地器材→E.媒体宣传→F.集体效应→G.其他,视频指导/运动知识→运动计划→计步/计数→提供课程性价比高→运动榜单/好友竞赛→音乐播放→运动圈互动→卡路里消耗→GPS记录运动轨迹→其他,重要,一般,重要,重要,重要,一般,重要,重要,重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
77,2019/6/15 19:15:01,130秒,手机提交,直接访问,58.243.250.180(安徽-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,C.一周3-4次,C.1小时—2小时,B.出汗较多,A.健身房,F.网球,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导,运动计划→视频指导/运动知识,一般,一般,重要,非常重要,一般,一般,一般,重要,一般,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
78,2019/6/15 19:17:27,110秒,手机提交,直接访问,49.52.99.230(上海-上海),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,C.一周3-4次,B.30分钟—60分钟,A.出汗很多,D.网络、app辅导,A.跑步,B.空闲时间→A.锻炼兴趣→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应,GPS记录运动轨迹→计步/计数→视频指导/运动知识→运动计划→卡路里消耗→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高,重要,重要,重要,重要,重要,重要,重要,重要,重要,B.正在使用,B.一周3-4次,B.25min-30min,A.不足半年,B.Keep,B.计步/记数┋C.运动计划,满意,满意,满意,满意,满意,满意,满意,满意,满意,C.流畅感和自然感(在运动中加入音乐给你带来的舒适体验等),B.部分可以实现,B.中(中等程度),A.运动训练┋C.健身塑型,A.广告太多┋C.功能不够丰富┋D.记录不够准确
79,2019/6/15 19:18:51,122秒,手机提交,直接访问,112.28.151.68(安徽-合肥),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,A.几乎不,C.1小时—2小时,A.出汗很多,A.健身房,B.篮球┋D.兵乓球,A.锻炼兴趣,其他,不重要,不重要,不重要,不重要,不重要,不重要,不重要,不重要,不重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
80,2019/6/15 19:19:41,180秒,手机提交,直接访问,112.28.151.68(安徽-合肥),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,B.篮球┋D.兵乓球,A.锻炼兴趣→B.空闲时间→F.集体效应→C.场地器材→G.其他→E.媒体宣传→D.专业辅导,卡路里消耗→运动榜单/好友竞赛→计步/计数→视频指导/运动知识→运动计划→GPS记录运动轨迹→音乐播放→运动圈互动→提供课程性价比高→其他,一般,重要,不重要,重要,一般,重要,一般,一般,非常重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
81,2019/6/15 19:22:31,58秒,手机提交,直接访问,223.104.35.113(安徽-合肥),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,C.一周3-4次,D.2小时以上,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,B.篮球,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,计步/计数→卡路里消耗→视频指导/运动知识→运动计划→GPS记录运动轨迹→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高→其他,非常重要,重要,非常重要,重要,重要,重要,重要,重要,重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
82,2019/6/15 19:24:29,47秒,微信,N/A,223.104.210.139(上海-上海),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,A.健身房,A.跑步┋B.篮球┋D.兵乓球,A.锻炼兴趣→B.空闲时间,GPS记录运动轨迹,一般,不重要,不重要,不重要,一般,不重要,一般,不重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B.界面设计不合理
83,2019/6/15 19:26:30,56秒,手机提交,直接访问,223.104.37.177(安徽-未知),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,A.30分钟以内,B.出汗较多,A.健身房,A.跑步┋D.兵乓球┋J.瑜伽┋K.游泳,B.空闲时间→A.锻炼兴趣→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→卡路里消耗→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高→其他,一般,一般,一般,一般,一般,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多
84,2019/6/15 19:33:27,143秒,手机提交,直接访问,117.33.56.110(陕西-西安),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋F.网球┋其他,B.空闲时间→F.集体效应→A.锻炼兴趣,计步/计数→音乐播放→GPS记录运动轨迹,非常重要,非常重要,非常重要,不重要,非常不重要,非常不重要,非常重要,非常不重要,非常不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G.其他
85,2019/6/15 19:34:43,303秒,手机提交,直接访问,118.73.77.22(山西-临汾),A.男生,A.大一,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,A.健身房,C.羽毛球,A.锻炼兴趣,视频指导/运动知识,一般,重要,重要,非常重要,重要,非常不重要,非常重要,一般,重要,B.正在使用,A.一周1-2次,B.25min-30min,A.不足半年,B.Keep,B.计步/记数┋E.卡路里消耗┋G.音乐播放,满意,一般,满意,满意,一般,满意,一般,非常满意,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),B.部分可以实现,B.中(中等程度),C.健身塑型┋E.健康饮食,A.广告太多┋B.界面设计不合理
86,2019/6/15 19:36:17,61秒,手机提交,直接访问,117.136.100.30(安徽-合肥),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,C.一周3-4次,C.1小时—2小时,B.出汗较多,A.健身房,A.跑步┋B.篮球┋C.羽毛球,A.锻炼兴趣,GPS记录运动轨迹→计步/计数,一般,一般,一般,一般,一般,一般,一般,一般,一般,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
87,2019/6/15 19:39:37,90秒,手机提交,直接访问,223.104.187.103(山东-青岛),B.女生,A.大一,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋H.健美操,B.空闲时间→D.专业辅导→E.媒体宣传→A.锻炼兴趣,计步/计数→运动圈互动→卡路里消耗→提供课程性价比高,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.正在使用,A.一周1-2次,A.不足25min,A.不足半年,E.乐动力┋G.小米运动,E.卡路里消耗┋G.音乐播放,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),B.部分可以实现,B.中(中等程度),C.健身塑型,C.功能不够丰富
88,2019/6/15 19:39:46,133秒,手机提交,直接访问,117.136.117.100(安徽-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,A.几乎不,A.30分钟以内,D.基本不出汗,B.集体健身活动（广场舞、集体骑行等）,其他〖散步〗,A.锻炼兴趣→B.空闲时间→C.场地器材→E.媒体宣传→F.集体效应→D.专业辅导,GPS记录运动轨迹→提供课程性价比高→视频指导/运动知识→计步/计数→运动计划→卡路里消耗→运动圈互动→运动榜单/好友竞赛→音乐播放,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
89,2019/6/15 19:39:59,57秒,手机提交,直接访问,58.243.250.109(安徽-未知),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,D.2小时以上,A.出汗很多,A.健身房,A.跑步┋B.篮球┋F.网球,A.锻炼兴趣→D.专业辅导→C.场地器材,计步/计数→运动圈互动,重要,重要,非常重要,重要,一般,重要,一般,一般,重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
90,2019/6/15 19:41:08,27秒,手机提交,直接访问,183.162.54.61(安徽-合肥),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,C.一周3-4次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,B.篮球,A.锻炼兴趣,运动榜单/好友竞赛,非常重要,非常重要,重要,一般,非常重要,一般,重要,重要,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多
91,2019/6/15 19:43:47,100秒,微信,N/A,118.73.114.150(山西-临汾),B.女生,A.大一,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,A.几乎不,A.30分钟以内,D.基本不出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋B.篮球,A.锻炼兴趣→B.空闲时间→F.集体效应→G.其他→E.媒体宣传→D.专业辅导→C.场地器材,音乐播放→卡路里消耗→计步/计数→GPS记录运动轨迹→运动计划→视频指导/运动知识→运动圈互动→运动榜单/好友竞赛→提供课程性价比高→其他,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常重要,非常不重要,非常不重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
92,2019/6/15 19:52:24,136秒,微信,N/A,1.68.85.4(山西-太原),B.女生,A.大一,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,D.2小时以上,B.出汗较多,A.健身房,A.跑步┋H.健美操┋J.瑜伽┋K.游泳,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,卡路里消耗→计步/计数→运动计划→GPS记录运动轨迹→视频指导/运动知识→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高→其他,重要,一般,重要,重要,非常重要,重要,非常重要,不重要,一般,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
93,2019/6/15 19:56:14,174秒,微信,N/A,223.104.19.38(河南-郑州),B.女生,A.大一,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,A.几乎不,A.30分钟以内,C.稍微出汗,A.健身房,B.篮球┋C.羽毛球┋H.健美操┋J.瑜伽,B.空闲时间→A.锻炼兴趣→C.场地器材→F.集体效应,GPS记录运动轨迹→计步/计数→卡路里消耗,一般,重要,非常重要,重要,非常重要,一般,非常重要,非常重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋C.功能不够丰富┋E.激励机制有待提高
94,2019/6/15 20:17:11,175秒,微信,N/A,223.104.106.57(河南-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,C.1小时—2小时,A.出汗很多,A.健身房,A.跑步┋B.篮球,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→F.集体效应→G.其他→E.媒体宣传,视频指导/运动知识→运动计划→GPS记录运动轨迹→计步/计数→卡路里消耗→运动榜单/好友竞赛→运动圈互动→音乐播放→其他→提供课程性价比高,一般,一般,一般,非常重要,一般,重要,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋F.提供知识全面性、科学性欠缺
